"Kapx","r","b","beta","init.size","Kexact","rcrit","p.colonization.from.one","poiss.imm","p.colonization.from.rcrit","p.colonization.to.rcrit","t.extinction.from.Kexact","t.extinction.from.rcrit"
25,1,4,6,0.5,18.26208734813,2.73791265186999,0.0447075283819118,0.0538161221112924,0.270190820962194,0.205845153690114,25.3027190758653,6.46659540919559
50,1,4,6,0.5,43.712315177208,2.28768482279202,0.0261320203464611,NA,0.128356906517025,0.272824480168455,1405.87684127862,266.657834182039
75,1,4,6,0.5,68.8204141630923,2.17958583690773,0.021286381688579,NA,0.109772161490102,0.274256102761463,304188.799376702,62189.7304214242
100,1,4,6,0.5,93.8693797647189,2.13062023528114,0.0184792097605328,NA,0.0977114915795619,0.274972282512492,101021820.954163,21419322.8471256
150,1,4,6,0.5,143.915442605966,2.08455739403441,0.0151454584175497,NA,0.0823055303482921,0.275688700661599,1474969097.9899,323328724.937304
200,1,4,6,0.5,193.937479641692,2.06252035830835,0.0131484311625303,NA,0.0725532966245193,0.276046997443604,1269287388.05543,282644234.70159
250,1,4,6,0.5,243.950403058444,2.04959694155625,0.0117802258429312,NA,0.0656578212051032,0.27626200328983,1141611923.64295,256550232.612477
25,1,5,7.5,0.5,16.1237243569579,3.87627564304205,0.0414899252605795,0.0497552272072613,0.329105405440093,0.153806039123009,17.8200500701852,6.63793151890693
50,1,5,7.5,0.5,42.0256241897666,2.97437581023336,0.0221975476271092,0.0288559291288298,0.166913887099913,0.199323221485123,571.387851080207,84.7657248840789
75,1,5,7.5,0.5,67.2102468168128,2.78975318318718,0.0179449575997948,0.0240287416224509,0.145854989911499,0.200819843748742,87786.0478148164,14142.2901301031
100,1,5,7.5,0.5,92.2911821679223,2.70881783207771,0.0155653587704727,0.0211550150199616,0.131508086625612,0.201567194320012,24738221.4255279,4181848.62405434
150,1,5,7.5,0.5,142.365943062411,2.63405693758939,0.0127513924998758,0.0176155575575534,0.112376112114385,0.202313883605826,1487177977.49541,262533400.71296
200,1,5,7.5,0.5,192.401264480512,2.59873551948847,0.0110678977386293,0.0154306123365132,0.0998682114169371,0.202686975502084,1277647508.4188,230146653.210496
250,1,5,7.5,0.5,242.421849552115,2.57815044788543,0.00991496163037965,0.0139068501193772,0.0908613254189158,0.202910748684299,1139424584.50578,207666156.029408
25,1,6,9,0.5,13.4051248379533,5.59487516204667,0.0435159914898043,0.0519614599499978,0.502705304571948,0.0979488461753349,12.9609721405151,7.75971344772058
50,1,6,9,0.5,40.2756668824971,3.72433311750293,0.0192841738669191,0.0247734767831274,0.200909705022864,0.150565482253303,268.067213466667,55.103968619919
75,1,6,9,0.5,65.568472765812,3.43152723418803,0.0152864375723992,0.0202254485995801,0.121767542191919,0.192939529402506,28594.2296028867,6397.43967380695
100,1,6,9,0.5,90.692104549907,3.30789545009305,0.0132900255445971,0.0178278350141781,0.109735446059093,0.193690204470949,6561798.93599338,1560212.19790133
150,1,6,9,0.5,140.804069647078,3.19593035292171,0.0109144796119624,0.014859425227924,0.0936458999910251,0.194440386794326,1488331444.26954,373433951.210558
200,1,6,9,0.5,190.856273098819,3.1437269011815,0.00948475220561727,0.0130192086931324,0.0831202637955116,0.194815287320986,1278594633.39593,328839767.018107
250,1,6,9,0.5,240.88650049522,3.11349950477977,0.00850250556974425,0.0117335181204346,0.0755465331690645,0.195040165304415,1145652708.14463,298876948.474975
50,1,7,10.5,0.5,38.4484512566783,4.55154874332171,0.017046024570771,0.0216731291633627,0.230516970119842,0.116736666138877,142.969503477696,36.3453575663354
75,1,7,10.5,0.5,63.8914703552702,4.10852964472976,0.013290666965816,0.0173979428808943,0.15200327151064,0.146143602612128,10370.6719145413,2823.5703452673
100,1,7,10.5,0.5,89.0705297124666,3.92947028753343,0.0115585385888162,0.0153286932929084,0.138922644609261,0.146932807506137,1907039.13574388,375422.357658451
150,1,7,10.5,0.5,139.2292403619,3.77075963810017,0.00950257048525859,0.0127756648598288,0.120393265937299,0.147719043303201,1491396108.00871,313847038.102182
200,1,7,10.5,0.5,189.302209025432,3.69779097456785,0.00826250039411565,0.0111918037071018,0.107779874440953,0.148111035458662,1282504052.97881,278186624.073306
250,1,7,10.5,0.5,239.344176775944,3.65582322405575,0.00740929157388806,0.0100847686023826,0.0985083946509697,0.14834586783783,1145920648.14419,252913144.929117
50,1,8,12,0.5,36.52417469626,5.47582530373998,0.0149891172746437,0.0189019847877934,0.200359576862228,0.111978227048674,85.4825940297955,25.5866020698896
75,1,8,12,0.5,62.1749019178793,4.82509808212066,0.0116513064096996,0.0151133603694529,0.179875519568215,0.113665210668334,4150.20628393584,937.096330382791
100,1,8,12,0.5,87.424630354416,4.57536964558404,0.0101386760992729,0.0133155698107055,0.166880438796773,0.114497808329154,604269.440946915,149455.787905119
150,1,8,12,0.5,137.640828326185,4.35917167381547,0.00831799752400882,0.0110655449664574,0.103103181484112,0.1430230083775,1460841468.45678,391143345.508081
200,1,8,12,0.5,187.738759529438,4.26124047056229,0.00724711755859466,0.00970725962739555,0.0922601722034852,0.143420627674757,1300329507.48785,360721749.008803
