"Kapx","r","b","beta","init.size","Kexact","rcrit","p.colonization.from.one","poiss.imm","p.colonization.from.rcrit","p.colonization.to.rcrit","t.extinction.from.Kexact","t.extinction.from.rcrit"
50,0.5,4,6,0.5,43.712315177208,2.28768482279202,0.0276941700082854,NA,0.106023346335111,0.29654466122134,185.19542333726,29.200534947644
100,0.5,4,6,0.5,93.8693797647189,2.13062023528114,0.0182543035941426,NA,0.0748256356288599,0.297626371053758,57248.361605329,9251.22349789821
150,0.5,4,6,0.5,143.915442605966,2.08455739403441,0.0148243313296789,NA,0.0620752787326561,0.297986979467416,41187601.957042,6934569.01463864
50,1,4,6,0.5,43.712315177208,2.28768482279202,0.0261320203464611,NA,0.128356906517025,0.272824480168456,1405.87684127862,266.657834182038
100,1,4,6,0.5,93.8693797647189,2.13062023528114,0.0184792097605347,NA,0.0977114915795647,0.274972282512492,101021820.986677,21419322.8540194
150,1,4,6,0.5,143.915442605966,2.08455739403441,0.0151454584175531,NA,0.0823055303482919,0.275688700661599,1474969094.60377,323328724.195029
50,1.5,4,6,0.5,43.712315177208,2.28768482279202,0.0240237919865522,NA,0.147937069909708,0.249382923575363,9233.27101757485,1952.41025692202
100,1.5,4,6,0.5,93.8693797647189,2.13062023528114,0.0173604723237669,NA,0.116180294773,0.252555827956923,1650721771.89794,391702745.859435
150,1.5,4,6,0.5,143.915442605966,2.08455739403441,0.014300455727809,NA,0.098916145036642,0.253615353829436,1490325592.86844,365635324.649658
50,0.5,5,7.5,0.5,42.0256241897666,2.97437581023336,0.0256533001065952,0.0289479199557791,0.138913618262082,0.228416108752311,124.15708183199,17.5668088018739
100,0.5,5,7.5,0.5,92.2911821679223,2.70881783207771,0.0164125370665208,0.0192361998317224,0.0989182876842405,0.229540203073408,26797.5377573851,3658.47617224939
150,0.5,5,7.5,0.5,142.365943062411,2.63405693758939,0.0132898084317052,0.0157612850418021,0.0827901780715748,0.229914365481487,16345694.6079128,2347020.29533632
50,1,5,7.5,0.5,42.0256241897666,2.97437581023336,0.0221975476271073,0.0288559291288288,0.166913887099912,0.199323221485123,571.38785108021,84.7657248840793
100,1,5,7.5,0.5,92.2911821679223,2.70881783207771,0.0155653587704725,0.0211550150199617,0.131508086625612,0.201567194320012,24738221.4262417,4181848.624175
150,1,5,7.5,0.5,142.365943062411,2.63405693758939,0.0127513924998716,0.0176155575575507,0.11237611211438,0.202313883605826,1487177983.94351,262533401.851251
50,1.5,5,7.5,0.5,42.0256241897666,2.97437581023336,0.0189309191881702,0.0284848194613555,0.192982543144961,0.171341718660227,2641.79700920089,404.853963727413
100,1.5,5,7.5,0.5,92.2911821679223,2.70881783207771,0.0137201843173805,0.0217603377939293,0.158931915082673,0.174632896107884,1355644138.7062,242989854.213238
150,1.5,5,7.5,0.5,142.365943062411,2.63405693758939,0.0113167970277876,0.0183340326070014,0.13791517734172,0.175729293736356,1475015119.14026,276529539.826103
50,0.5,6,9,0.5,40.2756668824971,3.72433311750293,0.0241614309365198,0.0270566603293849,0.170235858260186,0.181940611170644,89.0451522640099,17.8943861001643
100,0.5,6,9,0.5,90.692104549907,3.30789545009305,0.0148748472126281,0.0172882439775217,0.0881236890190029,0.22555798707688,13444.2038316788,2531.6933056226
150,0.5,6,9,0.5,140.804069647078,3.19593035292171,0.0120386839893506,0.0141508594638667,0.0736205524355334,0.225934201259567,6854311.57335321,1371320.53501283
50,1,6,9,0.5,40.2756668824971,3.72433311750293,0.0192841738669168,0.0247734767831264,0.200909705022864,0.150565482253303,268.067213466667,55.103968619919
100,1,6,9,0.5,90.692104549907,3.30789545009305,0.0132900255445955,0.0178278350141771,0.10973544605909,0.193690204470949,6561798.93593654,1560212.19788782
150,1,6,9,0.5,140.804069647078,3.19593035292171,0.0109144796119625,0.014859425227924,0.0936458999910258,0.194440386794326,1488331449.57498,373433952.541734
50,1.5,6,9,0.5,40.2756668824971,3.72433311750293,0.0152351789070271,0.0227112554536393,0.230912057971704,0.12150967325745,871.788066081698,185.260115457225
100,1.5,6,9,0.5,90.692104549907,3.30789545009305,0.0110346988213856,0.0172700067226449,0.125444061524335,0.163209089388631,695500556.323552,180018479.459799
150,1.5,6,9,0.5,140.804069647078,3.19593035292171,0.00914516474255002,0.0145808858664196,0.108663035037859,0.164300959495164,1443476886.95316,395207534.100036
50,0.5,7,10.5,0.5,38.4484512566783,4.55154874332171,0.0230294583164919,0.0256276383406711,0.200421309831924,0.148632218752433,67.3847255364268,17.2799487313836
100,0.5,7,10.5,0.5,89.0705297124666,3.92947028753343,0.0136984947235969,0.0158019418165765,0.109797348091743,0.180071921173137,7165.95901140553,1173.92679403215
150,0.5,7,10.5,0.5,139.2292403619,3.77075963810017,0.0110536419223719,0.0128918602110647,0.0925896766104364,0.180459577928689,3030055.25574414,532881.260043966
50,1,7,10.5,0.5,38.4484512566783,4.55154874332171,0.0170460245707712,0.0216731291633629,0.230516970119843,0.116736666138877,142.969503477696,36.3453575663354
100,1,7,10.5,0.5,89.0705297124666,3.92947028753343,0.0115585385888157,0.0153286932929085,0.138922644609261,0.146932807506137,1907039.13574725,375422.357659115
150,1,7,10.5,0.5,139.2292403619,3.77075963810017,0.00950257048525957,0.0127756648598293,0.120393265937299,0.147719043303201,1491396112.11987,313847038.967327
50,1.5,7,10.5,0.5,38.4484512566783,4.55154874332171,0.0124289714109261,0.0183763061730324,0.261169737481542,0.0884298297385886,334.600378087807,86.0525302632011
100,1.5,7,10.5,0.5,89.0705297124666,3.92947028753343,0.00905616934383323,0.0140101202966228,0.161251678760625,0.116423893467677,206183317.211292,42171982.0769619
150,1.5,7,10.5,0.5,139.2292403619,3.77075963810017,0.00753540293361124,0.0118517176711092,0.142523704727815,0.117561814818267,1459125775.04539,320583316.624221
50,0.5,8,12,0.5,36.52417469626,5.47582530373998,0.0217278676548305,0.0240613082465994,0.187378181786097,0.146220819494305,53.4194249313194,16.4884623026513
100,0.5,8,12,0.5,87.424630354416,4.57536964558404,0.0127087452134093,0.014564413762125,0.130625785800215,0.147438485152334,4032.4019723588,818.16117078498
150,0.5,8,12,0.5,137.640828326185,4.35917167381547,0.0101805866035545,0.0117943686827673,0.0838547193630238,0.17808684912457,1406027.35481398,309487.212921694
50,1,8,12,0.5,36.52417469626,5.47582530373998,0.0149891172746446,0.0189019847877941,0.20035957686223,0.111978227048674,85.4825940297955,25.5866020698896
100,1,8,12,0.5,87.424630354416,4.57536964558404,0.0101386760992741,0.0133155698107065,0.166880438796774,0.114497808329153,604269.440944968,149455.787904637
150,1,8,12,0.5,137.640828326185,4.35917167381547,0.00831799752401015,0.0110655449664579,0.103103181484111,0.1430230083775,1460841476.69819,391143347.714738
50,1.5,8,12,0.5,36.52417469626,5.47582530373998,0.0100558659483755,0.0147738576767401,0.213092958192259,0.0818681206003246,149.776409414374,44.0129300425888
100,1.5,8,12,0.5,87.424630354416,4.57536964558404,0.00750069673039235,0.0114926297779598,0.195558612968552,0.0854557229547654,49868451.1655975,13092912.3517942
150,1.5,8,12,0.5,137.640828326185,4.35917167381547,0.00625079086564569,0.00972171153905406,0.116253508390001,0.110929519569718,1482610159.79141,423891997.800679
50,0.5,9,13.5,0.5,34.4731886124821,6.52681138751788,0.0215417364602513,0.02375702008226,0.260844891699398,0.104970141060904,43.4421310280736,15.7521142722359
100,0.5,9,13.5,0.5,85.7523291251575,5.24767087484253,0.0117751183297392,0.0134189747864467,0.119186412557435,0.145496291894616,2384.22330124934,561.268068479231
150,0.5,9,13.5,0.5,136.03815682486,4.96184317513958,0.00946297270208434,0.0108987379654196,0.101323327160352,0.145905300404157,681952.310453723,134151.881876844
50,1,9,13.5,0.5,34.4731886124821,6.52681138751788,0.0138381338538802,0.0173288135639968,0.280594673689138,0.0742869214916174,56.1141682541975,19.4246261576036
100,1,9,13.5,0.5,85.7523291251575,5.24767087484253,0.00888568952305902,0.0115758861030029,0.144141385715216,0.110660464581763,207396.458990623,59882.527738301
150,1,9,13.5,0.5,136.03815682486,4.96184317513958,0.0073566664908398,0.00969857200703255,0.127049386047986,0.111507051809644,1333986238.1799,306124725.587138
50,1.5,9,13.5,0.5,34.4731886124821,6.52681138751788,0.00852812901852544,0.0124569109104215,0.301905688839998,0.0494466607302245,77.713847413644,25.7050470749601
100,1.5,9,13.5,0.5,85.7523291251575,5.24767087484253,0.00620669964795546,0.00943663579765043,0.161397330332315,0.0801877313101833,12016453.1712539,3732648.63823832
150,1.5,9,13.5,0.5,136.03815682486,4.96184317513958,0.00524164035386278,0.00807630259598765,0.145903047054315,0.0813840674170889,1523267409.9503,358547476.43646
50,0.5,10,15,0.5,32.2474487139159,7.75255128608411,0.0211568040000986,0.0232582279927455,0.293605126009343,0.0900985506815256,36.3985800531709,15.1288448071788
100,0.5,10,15,0.5,84.0512483795333,5.94875162046672,0.0110365126745775,0.0125138868400613,0.137990199235588,0.121556285087635,1475.55980926175,310.473058270513
150,0.5,10,15,0.5,134.420493633626,5.57950636637436,0.0088318617920017,0.0101198552157262,0.118481656629321,0.121985231405853,344456.205198634,80058.616604374
50,1,10,15,0.5,32.2474487139159,7.75255128608411,0.012637544287475,0.015749011098944,0.304332301627379,0.0604391773607268,39.9026767785581,15.7900789525023
100,1,10,15,0.5,84.0512483795333,5.94875162046672,0.00786779568297699,0.0101782781336179,0.168100775453088,0.0879740057008635,76676.9754093763,18877.2398293891
150,1,10,15,0.5,134.420493633626,5.57950636637436,0.00653709647633784,0.00855209156259678,0.150780091821911,0.0888687690560854,1018601839.52423,280299484.302871
50,1.5,10,15,0.5,32.2474487139159,7.75255128608411,0.00715148347395016,0.0104094556918018,0.316881349840707,0.0375824235566111,46.1482795806493,17.2376745090236
100,1.5,10,15,0.5,84.0512483795333,5.94875162046672,0.00518406288682638,0.00783099024468774,0.189858344669031,0.059951228846496,3068448.74228803,782055.104595782
150,1.5,10,15,0.5,134.420493633626,5.57950636637436,0.00441625408656386,0.00675223044995516,0.17554405362257,0.0611823685892612,1541606924.00832,443974486.136966
50,0.5,2,4,0.5,45.8174242292714,2.18257577072857,0.0257451611344356,NA,0.112680236004057,0.282146303603017,327.396848080411,55.0321065901434
100,0.5,2,4,0.5,95.9148164229596,2.0851835770404,0.0174845604490528,NA,0.081709769214912,0.283224131536813,159665.391533304,28412.202051175
150,0.5,2,4,0.5,145.94442299442,2.05557700558019,0.0142427601235,NA,0.0680223498693561,0.283583496865422,135581922.310925,24921284.1092822
50,1,2,4,0.5,45.8174242292714,2.18257577072857,0.0225965537298954,NA,0.144131873237587,0.244465210660289,4787.51629209492,1003.27089843365
100,1,2,4,0.5,95.9148164229596,2.0851835770404,0.0161410564237732,NA,0.110718365594899,0.246570033306088,509952444.590641,116876118.796181
150,1,2,4,0.5,145.94442299442,2.05557700558019,0.013251548067138,NA,0.0935435037476316,0.247272575228684,1467454861.03084,345333922.118063
50,1.5,2,4,0.5,45.8174242292714,2.18257577072857,0.0188327129340146,NA,0.171863499957381,0.208136003428008,41725.3589509908,9646.31171541706
100,1.5,2,4,0.5,95.9148164229596,2.0851835770404,0.0136959659196092,NA,0.135881394827163,0.211146868556315,1762649844.4814,445931951.472782
150,1.5,2,4,0.5,145.94442299442,2.05557700558019,0.0112982901606974,NA,0.116091345224204,0.21215392856986,1440780743.32523,374467911.388368
50,0.5,3,6,0.5,43.5561711201316,3.44382887986842,0.0198314373909321,0.0245340825663841,0.131109806877408,0.201347732206914,159.523269804443,32.0734062983997
100,0.5,3,6,0.5,93.8017659699928,3.19823403000718,0.0130961853126351,0.0167976237343508,0.0954955842987095,0.202474384837164,47294.6386101736,9849.58790078049
150,0.5,3,6,0.5,143.872224634439,3.12777536556059,0.0106553367568014,0.0138250213091251,0.0801364578605385,0.20284960592315,33853485.0359388,7387776.24379496
50,1,3,6,0.5,43.5561711201316,3.44382887986842,0.0134784488551423,0.0218534206908138,0.154448626532039,0.148434072273744,987.850007476718,219.84985026917
100,1,3,6,0.5,93.8017659699928,3.19823403000718,0.00969115314865478,0.0163816767951207,0.122716384719663,0.150555588154639,68507330.5823517,17544510.1966359
150,1,3,6,0.5,143.872224634439,3.12777536556059,0.00798252847709108,0.0137118658061354,0.104987264972284,0.151263570738882,1477123911.59387,394503853.805013
50,1.5,3,6,0.5,43.5561711201316,3.44382887986842,0.00866543068842005,0.0194296939866693,0.17427124529886,0.10293541595293,5462.20401806265,1280.05101407301
100,1.5,3,6,0.5,93.8017659699928,3.19823403000718,0.00647049183586778,0.015230511757809,0.144280422991183,0.105669762349433,1573252637.8524,431522506.819342
150,1.5,3,6,0.5,143.872224634439,3.12777536556059,0.00538024372781259,0.0129301355015482,0.125251362330035,0.106587479728433,1485814502.05781,426311104.206124
50,0.5,4,8,0.5,41.1383571472171,4.86164285278295,0.01629891590597,0.0201485101251518,0.192303899562216,0.121066985676144,91.3780112941002,21.1559392512901
100,0.5,4,8,0.5,91.6348484585428,4.36515154145714,0.0102740187916276,0.0131315516792845,0.107150610284322,0.150396273144781,16257.6133017221,3663.74250693343
150,0.5,4,8,0.5,141.767724987817,4.23227501218322,0.00835963223632712,0.0107939805013776,0.0907347934295587,0.150791466925298,9195410.57839734,2207466.57065135
50,1,4,8,0.5,41.1383571472171,4.86164285278295,0.0086344083947291,0.0143247386148867,0.225884773558707,0.0708603041492199,281.025996070981,62.8077907735707
100,1,4,8,0.5,91.6348484585428,4.36515154145714,0.00618891173703208,0.010640075562692,0.131723717107849,0.0948244008358057,9044769.54865979,2414251.90469702
150,1,4,8,0.5,141.767724987817,4.23227501218322,0.00513379905608535,0.00893767712352252,0.114353967933295,0.0955400823307841,1493899233.82608,423778423.278339
50,1.5,4,8,0.5,41.1383571472171,4.86164285278295,0.00423454938838308,0.0103515453461997,0.258561592656791,0.0365768645008625,912.911727840211,200.304357873005
100,1.5,4,8,0.5,91.6348484585428,4.36515154145714,0.00326591496104635,0.00827272782658818,0.149467795965901,0.0534984224827659,806569540.731637,224890421.557193
150,1.5,4,8,0.5,141.767724987817,4.23227501218322,0.00275441933179713,0.00707849690185696,0.132238194397449,0.0543058632357743,1477259913.57561,440617972.048172
50,0.5,5,10,0.5,38.5078105935821,6.49218940641788,0.0135404770288044,0.016722109278383,0.203482428248577,0.093837469021962,59.2435104847614,19.181073162457
100,0.5,5,10,0.5,89.4076365356005,5.59236346439948,0.00831639644106641,0.0105803361445425,0.151720943001771,0.0951645821929947,6318.0706092587,1478.33762646973
150,0.5,5,10,0.5,139.628607910488,5.37139208951224,0.00672930912410543,0.00864100923584901,0.099905197691116,0.115387763981609,2759005.02383376,700362.120245147
50,1,5,10,0.5,38.5078105935821,6.49218940641788,0.00560461308118022,0.00946137340649061,0.218136494754833,0.0458979606002823,106.411852201273,32.497058128388
100,1,5,10,0.5,89.4076365356005,5.59236346439948,0.00409309744573569,0.00711847843767597,0.194540011020813,0.0480757732072022,1417099.79579051,379556.36704725
150,1,5,10,0.5,139.628607910488,5.37139208951224,0.00341124992324651,0.00599250868687488,0.12170491383802,0.0620101744271409,1486876787.85165,433004176.640356
50,1.5,5,10,0.5,38.5078105935821,6.49218940641788,0.00205531328744588,0.00539483649286537,0.233911595077914,0.0185960947881285,210.215477066577,62.4229671812192
100,1.5,5,10,0.5,89.4076365356005,5.59236346439948,0.00170438981358871,0.00458329899468712,0.229483857311353,0.0205182518567561,134109133.739924,36667066.4296285
150,1.5,5,10,0.5,139.628607910488,5.37139208951224,0.00145853622505307,0.00396097146512315,0.136993895821701,0.0282840715320237,1468200387.99874,441340561.22767
50,0.5,6,12,0.5,35.5646599662505,8.43534003374946,0.0116774596943295,0.0144140579734942,0.257973175043518,0.0632436229912446,41.8987107591175,17.1848083130059
100,0.5,6,12,0.5,87.1123422402632,6.88765775973685,0.00678673677386072,0.0085976629622079,0.157289645312284,0.075481668988781,2732.89958916058,647.557403367309
150,0.5,6,12,0.5,137.452272687814,6.54772731218571,0.00552178537488336,0.00705414707201739,0.137603645985364,0.0759489223711073,907445.026770288,237707.776552762
50,1,6,12,0.5,35.5646599662505,8.43534003374946,0.00375994835290217,0.00644004591874538,0.265471058844965,0.0245156529925862,51.5400521809053,19.6335968868676
100,1,6,12,0.5,87.1123422402632,6.88765775973685,0.00272491357397544,0.00478233446709785,0.193029522551124,0.0321961690703462,263253.211605277,68947.7973912778
150,1,6,12,0.5,137.452272687814,6.54772731218571,0.00231432558962313,0.00409373803734677,0.176421810575171,0.032889203790268,1394916230.45464,408294993.687943
50,1.5,6,12,0.5,35.5646599662505,8.43534003374946,0.00101073967993026,0.00281416685364852,0.276576534681938,0.00739363512061273,68.5997155702627,24.6293635377333
100,1.5,6,12,0.5,87.1123422402632,6.88765775973685,0.000891561145763615,0.00252097447763032,0.220172346269914,0.0109685354709131,15468348.2477637,4042276.50904328
150,1.5,6,12,0.5,137.452272687814,6.54772731218571,0.000787408878756931,0.00224019078288686,0.208057252951372,0.0114796949813168,1490109665.62803,442625583.161764
50,0.5,7,14,0.5,32.0948100502085,10.9051899497915,0.0106489731578798,0.013141821559906,0.363345596324426,0.0393314532649052,31.2964792220899,15.6483930571559
100,0.5,7,14,0.5,84.7393776099978,8.26062239000222,0.00558771028167358,0.00705273155390721,0.161396396227566,0.0607205468506401,1302.49444714911,373.587881568759
150,0.5,7,14,0.5,135.235782728386,7.76421727161421,0.00455490961417839,0.00579366575538075,0.142813656913783,0.0612196284516707,324076.148180983,86136.1903933467
50,1,7,14,0.5,32.0948100502085,10.9051899497915,0.00262313868069129,0.00455162070896067,0.364176681634262,0.011605705543439,30.1228378007017,14.0257534701766
100,1,7,14,0.5,84.7393776099978,8.26062239000222,0.0018202822481149,0.00321861088025107,0.189656890223513,0.021797840207554,57188.649524956,18662.9112459942
150,1,7,14,0.5,135.235782728386,7.76421727161421,0.00157703391852212,0.00280570189525826,0.176976956350671,0.0224491383046827,958348011.616717,277745673.218135
50,1.5,7,14,0.5,32.0948100502085,10.9051899497915,0.000508120479378504,0.0014866447414894,0.370984542591903,0.00251316138661283,30.9246320092577,13.4668767361533
100,1.5,7,14,0.5,84.7393776099978,8.26062239000222,0.000465211730000171,0.00137198512799737,0.209336884625303,0.00590475966680872,1934038.75903981,658086.066402355
150,1.5,7,14,0.5,135.235782728386,7.76421727161421,0.000425836765009038,0.0012601817211858,0.20325824634755,0.00629088773112205,1482706246.04913,428948203.131569
50,0.5,8,16,0.5,27.4031242374328,14.5968757625672,0.0107259022157867,0.0132266328144793,0.547622826130272,0.0235506660765478,23.7166918944378,16.3068891244408
100,0.5,8,16,0.5,82.2767142944341,9.72328570556589,0.0046642336786352,0.00586877686816356,0.195132572239425,0.043000038194103,678.921524092189,189.675269989951
150,0.5,8,16,0.5,132.975801729385,9.02419827061534,0.00377832274781138,0.00478841845653676,0.146977208060703,0.0498867611528222,124691.243525418,39621.302427064
50,1,8,16,0.5,27.4031242374328,14.5968757625672,0.00201104168972288,0.00352769311586957,0.540601867783316,0.00511023842367653,19.7339297722938,13.1462663805076
100,1,8,16,0.5,82.2767142944341,9.72328570556589,0.00122224957044616,0.00217456275868123,0.233168010371658,0.0124013671070052,14387.024477964,4352.29461661621
150,1,8,16,0.5,132.975801729385,9.02419827061534,0.00107785898079392,0.00192698065070418,0.176317130981042,0.0154455673854754,327874301.929436,118063911.906558
50,1.5,8,16,0.5,27.4031242374328,14.5968757625672,0.000274955102723841,0.000838122202804232,0.537600651849594,0.000768723889505342,17.5363266655402,11.3978260239468
100,1.5,8,16,0.5,82.2767142944341,9.72328570556589,0.000242220502463451,0.000739823577848329,0.262095627486333,0.00256828185726367,279712.155496819,86055.5314893487
150,1.5,8,16,0.5,132.975801729385,9.02419827061534,0.000230217386565737,0.000704223562107242,0.197438298976776,0.00346588694597722,1502705319.91404,564683383.301909
100,0.5,9,18,0.5,79.7089169661946,11.2910830338054,0.00387863454327112,0.00486833355483453,0.194817904548775,0.0354314125643031,384.784481660906,120.994116651314
150,0.5,9,18,0.5,130.668513360395,10.3314866396053,0.00314407391130965,0.00397265191485301,0.150141160114129,0.0409861020702803,51378.1769057763,15985.6842108132
100,1,9,18,0.5,79.7089169661946,11.2910830338054,0.00080983944672404,0.00144834618151241,0.221701756031889,0.00850577295866102,4170.01749110566,1411.12009168341
150,1,9,18,0.5,130.668513360395,10.3314866396053,0.000736395836833569,0.00132194038197381,0.174502775478232,0.010677203172693,71573814.5992424,24663644.669974
100,1.5,9,18,0.5,79.7089169661946,11.2910830338054,0.000123438745852162,0.000388126507745768,0.240909902441844,0.00138482664217479,47292.3011443111,16651.9494717093
150,1.5,9,18,0.5,130.668513360395,10.3314866396053,0.000123941625855567,0.000389757419462788,0.190616797235588,0.00191292842743297,1480215927.60655,523311901.199403
