"number.immigrants","p.establish","Kapx","r","b","beta","init.size","Kexact","rcrit"
"1",0.0221975476271092,50,1,5,7.5,0.5,42.0256241897666,2.97437581023336
"2",0.0579961448834259,50,1,5,7.5,0.5,42.0256241897666,2.97437581023336
"1",0.0155653587704727,100,1,5,7.5,0.5,92.2911821679223,2.70881783207771
"2",0.0419549426701019,100,1,5,7.5,0.5,92.2911821679223,2.70881783207771
"1",0.0127513924998758,150,1,5,7.5,0.5,142.365943062411,2.63405693758939
"2",0.0347390294494139,150,1,5,7.5,0.5,142.365943062411,2.63405693758939
"1",0.0192841738669191,50,1,6,9,0.5,40.2756668824971,3.72433311750293
"2",0.0496882206246332,50,1,6,9,0.5,40.2756668824971,3.72433311750293
"3",0.091036372567941,50,1,6,9,0.5,40.2756668824971,3.72433311750293
"1",0.0132900255445971,100,1,6,9,0.5,90.692104549907,3.30789545009305
"2",0.0353045931121978,100,1,6,9,0.5,90.692104549907,3.30789545009305
"1",0.0109144796119624,150,1,6,9,0.5,140.804069647078,3.19593035292171
"2",0.0292806060663881,150,1,6,9,0.5,140.804069647078,3.19593035292171
"1",0.017046024570771,50,1,7,10.5,0.5,38.4484512566783,4.55154874332171
"2",0.0434046801370596,50,1,7,10.5,0.5,38.4484512566783,4.55154874332171
"3",0.079120637059981,50,1,7,10.5,0.5,38.4484512566783,4.55154874332171
"4",0.123302199130601,50,1,7,10.5,0.5,38.4484512566783,4.55154874332171
"1",0.0115585385888162,100,1,7,10.5,0.5,89.0705297124666,3.92947028753343
"2",0.0303272263520743,100,1,7,10.5,0.5,89.0705297124666,3.92947028753343
"3",0.0573854315853009,100,1,7,10.5,0.5,89.0705297124666,3.92947028753343
"1",0.00950257048525859,150,1,7,10.5,0.5,139.2292403619,3.77075963810017
"2",0.0251639011132414,150,1,7,10.5,0.5,139.2292403619,3.77075963810017
"3",0.0481811418384145,150,1,7,10.5,0.5,139.2292403619,3.77075963810017
"1",0.0149891172746437,50,1,8,12,0.5,36.52417469626,5.47582530373998
"2",0.0378038045150719,50,1,8,12,0.5,36.52417469626,5.47582530373998
"3",0.0686351701088105,50,1,8,12,0.5,36.52417469626,5.47582530373998
"4",0.10686868505154,50,1,8,12,0.5,36.52417469626,5.47582530373998
"1",0.0101386760992729,100,1,8,12,0.5,87.424630354416,4.57536964558404
"2",0.0263262176762788,100,1,8,12,0.5,87.424630354416,4.57536964558404
"3",0.0495508725104708,100,1,8,12,0.5,87.424630354416,4.57536964558404
"4",0.0805096594762161,100,1,8,12,0.5,87.424630354416,4.57536964558404
"1",0.00831799752400882,150,1,8,12,0.5,137.640828326185,4.35917167381547
"2",0.0217889026988841,150,1,8,12,0.5,137.640828326185,4.35917167381547
"3",0.0414684777154688,150,1,8,12,0.5,137.640828326185,4.35917167381547
"1",0.0138381338538821,50,1,9,13.5,0.5,34.4731886124821,6.52681138751788
"2",0.0346195644736168,50,1,9,13.5,0.5,34.4731886124821,6.52681138751788
"3",0.0626305130300038,50,1,9,13.5,0.5,34.4731886124821,6.52681138751788
"4",0.0974364187304633,50,1,9,13.5,0.5,34.4731886124821,6.52681138751788
"5",0.138036020174025,50,1,9,13.5,0.5,34.4731886124821,6.52681138751788
"6",0.183079958940679,50,1,9,13.5,0.5,34.4731886124821,6.52681138751788
"1",0.00888568952305818,100,1,9,13.5,0.5,85.7523291251575,5.24767087484253
"2",0.0228729151470168,100,1,9,13.5,0.5,85.7523291251575,5.24767087484253
"3",0.0428580250625933,100,1,9,13.5,0.5,85.7523291251575,5.24767087484253
"4",0.069500773245496,100,1,9,13.5,0.5,85.7523291251575,5.24767087484253
"1",0.00735666649083771,150,1,9,13.5,0.5,136.03815682486,4.96184317513958
"2",0.0190935488239106,150,1,9,13.5,0.5,136.03815682486,4.96184317513958
"3",0.0361460152382663,150,1,9,13.5,0.5,136.03815682486,4.96184317513958
"4",0.059353025532801,150,1,9,13.5,0.5,136.03815682486,4.96184317513958
"1",0.0126375442874747,50,1,10,15,0.5,32.2474487139159,7.75255128608411
"2",0.0314239568018728,50,1,10,15,0.5,32.2474487139159,7.75255128608411
"3",0.0567323349224982,50,1,10,15,0.5,32.2474487139159,7.75255128608411
"4",0.0883106257450226,50,1,10,15,0.5,32.2474487139159,7.75255128608411
"5",0.125377493573102,50,1,10,15,0.5,32.2474487139159,7.75255128608411
"6",0.166798289461148,50,1,10,15,0.5,32.2474487139159,7.75255128608411
"7",0.211275826461884,50,1,10,15,0.5,32.2474487139159,7.75255128608411
"1",0.0078677956829752,100,1,10,15,0.5,84.0512483795333,5.94875162046672
"2",0.020102128598304,100,1,10,15,0.5,84.0512483795333,5.94875162046672
"3",0.0375154333473899,100,1,10,15,0.5,84.0512483795333,5.94875162046672
"4",0.0607268521150039,100,1,10,15,0.5,84.0512483795333,5.94875162046672
"5",0.0901452485304551,100,1,10,15,0.5,84.0512483795333,5.94875162046672
"1",0.00653709647634028,150,1,10,15,0.5,134.420493633626,5.57950636637436
"2",0.0168337476489806,150,1,10,15,0.5,134.420493633626,5.57950636637436
"3",0.0317215869791533,150,1,10,15,0.5,134.420493633626,5.57950636637436
"4",0.0519529679522873,150,1,10,15,0.5,134.420493633626,5.57950636637436
"5",0.0781931081600031,150,1,10,15,0.5,134.420493633626,5.57950636637436
"1",0.0134784488551423,50,1,3,6,0.5,43.5561711201316,3.44382887986842
"2",0.043659052234038,50,1,3,6,0.5,43.5561711201316,3.44382887986842
"1",0.00969115314865344,100,1,3,6,0.5,93.8017659699928,3.19823403000718
"2",0.03214401558092,100,1,3,6,0.5,93.8017659699928,3.19823403000718
"1",0.0079825284770925,150,1,3,6,0.5,143.872224634439,3.1277753655606
"2",0.0267026198905005,150,1,3,6,0.5,143.872224634439,3.1277753655606
"1",0.00863440839473014,50,1,4,8,0.5,41.138357147217,4.86164285278295
"2",0.0281442868544342,50,1,4,8,0.5,41.138357147217,4.86164285278295
"3",0.0605824796800985,50,1,4,8,0.5,41.138357147217,4.86164285278295
"4",0.105712557096902,50,1,4,8,0.5,41.138357147217,4.86164285278295
"1",0.00618891173703382,100,1,4,8,0.5,91.6348484585428,4.36515154145714
"2",0.0205684279144592,100,1,4,8,0.5,91.6348484585428,4.36515154145714
"3",0.0455251990474049,100,1,4,8,0.5,91.6348484585428,4.36515154145714
"1",0.00513379905608303,150,1,4,8,0.5,141.767724987817,4.23227501218322
"2",0.0171727083460366,150,1,4,8,0.5,141.767724987817,4.23227501218322
"3",0.0383736654006525,150,1,4,8,0.5,141.767724987817,4.23227501218322
"1",0.00560461308117992,50,1,5,10,0.5,38.5078105935821,6.49218940641788
"2",0.0183019842361928,50,1,5,10,0.5,38.5078105935821,6.49218940641788
"3",0.0403146627771575,50,1,5,10,0.5,38.5078105935821,6.49218940641788
"4",0.0724032496632786,50,1,5,10,0.5,38.5078105935821,6.49218940641788
"5",0.113915417703082,50,1,5,10,0.5,38.5078105935821,6.49218940641788
"1",0.00409309744573624,100,1,5,10,0.5,89.4076365356005,5.59236346439948
"2",0.0135795072115137,100,1,5,10,0.5,89.4076365356005,5.59236346439948
"3",0.0305895211691584,100,1,5,10,0.5,89.4076365356005,5.59236346439948
"4",0.0566220082884752,100,1,5,10,0.5,89.4076365356005,5.59236346439948
"5",0.0925319192591652,100,1,5,10,0.5,89.4076365356005,5.59236346439948
"1",0.00341124992324434,150,1,5,10,0.5,139.628607910488,5.37139208951224
"2",0.0113756474688185,150,1,5,10,0.5,139.628607910488,5.37139208951224
"3",0.0258141386381992,150,1,5,10,0.5,139.628607910488,5.37139208951224
"4",0.0482715718936132,150,1,5,10,0.5,139.628607910488,5.37139208951224
"1",0.00375994835290215,50,1,6,12,0.5,35.5646599662505,8.43534003374946
"2",0.0122782453256163,50,1,6,12,0.5,35.5646599662505,8.43534003374946
"3",0.0275669909243563,50,1,6,12,0.5,35.5646599662505,8.43534003374946
"4",0.0508588057166407,50,1,6,12,0.5,35.5646599662505,8.43534003374946
"5",0.0823115511881878,50,1,6,12,0.5,35.5646599662505,8.43534003374946
"6",0.121107583064812,50,1,6,12,0.5,35.5646599662505,8.43534003374946
"7",0.165765802433785,50,1,6,12,0.5,35.5646599662505,8.43534003374946
"1",0.00272491357397563,100,1,6,12,0.5,87.1123422402632,6.88765775973685
"2",0.00901401981565683,100,1,6,12,0.5,87.1123422402632,6.88765775973685
"3",0.020596418613391,100,1,6,12,0.5,87.1123422402632,6.88765775973685
"4",0.0389206535348246,100,1,6,12,0.5,87.1123422402632,6.88765775973685
"5",0.0649916087642092,100,1,6,12,0.5,87.1123422402632,6.88765775973685
"6",0.0993608911868253,100,1,6,12,0.5,87.1123422402632,6.88765775973685
"1",0.00231432558962231,150,1,6,12,0.5,137.452272687814,6.54772731218571
"2",0.00768709079406891,150,1,6,12,0.5,137.452272687814,6.54772731218571
"3",0.0176615492149242,150,1,6,12,0.5,137.452272687814,6.54772731218571
"4",0.0336298910826799,150,1,6,12,0.5,137.452272687814,6.54772731218571
"5",0.0567313009197196,150,1,6,12,0.5,137.452272687814,6.54772731218571
"6",0.0878575674204793,150,1,6,12,0.5,137.452272687814,6.54772731218571
"1",0.00262313868069016,50,1,7,14,0.5,32.0948100502085,10.9051899497915
